record_id,student_id,student_full_name,gender,date_of_birth,admission_date,grade_level,class_stream,school_id,school_name,school_type,school_subcounty,school_county,school_region,school_country,student_subcounty,student_county,student_region,student_country,teacher_id,teacher_name,teacher_gender,teacher_subject_specialty,teacher_subcounty,teacher_county,teacher_region,teacher_country,subject_id,subject_name,term,academic_year,assessment_type,score,attendance_rate_pct,fee_balance_kes,scholarship_status,learning_mode,student_age corrected
EDU-0002,STU-1002,Phyllis Wambui Mohamed,F,"Wednesday, 14 April 2010","Sunday, 23 July 2023",8,Grade 8A,SCH002,Ambakasi Hope Junior,Public,Embakasi East,Nairobi,Nairobi,Kenya,Kisauni,Mombasa,Coast,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Cat 1,87,0.69,0,No,Hybrid,13
EDU-0003,STU-1003,Hellen Mwikali Nyaga,F,"Tuesday, 22 October 2013","Sunday, 9 April 2023",8,Grade 9B,SCH003,Langata Plains School,Private,Langata,Nairobi,Nairobi,Kenya,Lurambi,Kakamega,Western,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Cat 2,63,0.89,7500,No,Hybrid,9
EDU-0004,STU-1004,Caroline Mburu Lagat,F,"Saturday, 19 June 2010","Monday, 13 November 2023",9,Grade 9B,SCH004,Ruiru Sunrise School,Public,Ruiru,Kiambu,Central,Kenya,Westlands,Nairobi,Nairobi,Kenya,T004,peter mwangi,F,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Cat 2,69,0.73,5000,No,Boarding,13
EDU-0008,STU-1008,Esther Nyanchama Simiyu,F,"Tuesday, 9 August 2011","Friday, 2 September 2022",9,Grade 8B,SCH008,Kisumu Lakeview School,Public,Kisumu East,Kisumu,Nyanza,Kenya,Embakasi East,Nairobi,Nairobi,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Cat 1,37,0.86,15000,No,Boarding,11
EDU-0009,STU-1009,Nelly Mbugua Kiprono,F,"Thursday, 28 October 2010","Tuesday, 18 June 2024",8,Grade 9A,SCH009,Eldoret Valley Academy,Private,Eldoret East,Uasin Gishu,Rift Valley,Kenya,Thika Town,Kiambu,Central,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Cat 1,23,0.69,7500,No,Hybrid,14
EDU-0011,STU-1011,Sharon Wafula Duale,F,"Tuesday, 9 September 2014","Saturday, 30 April 2022",8,Grade 7A,SCH011,Athi River Stem School,Private,Athi River,Machakos,Eastern,Kenya,Athi River,Machakos,Eastern,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Mid Term,38,0.8,0,No,Boarding,8
EDU-0013,STU-1013,Ann Ochieng Oduor,F,"Tuesday, 24 July 2012","Wednesday, 7 August 2024",7,Grade 8A,SCH001,Garden Court Academy,Private,Westlands,Nairobi,Nairobi,Kenya,Thika Town,Kiambu,Central,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Practical,61,0.98,0,No,Day,12
EDU-0016,STU-1016,Martin Kiplagat Simiyu,F,"Sunday, 24 May 2015","Tuesday, 21 June 2022",9,Grade 7A,SCH004,Ruiru Sunrise School,Public,Ruiru,Kiambu,Central,Kenya,Langata,Nairobi,Nairobi,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,End Term,31,0.67,0,No,Boarding,7
EDU-0021,STU-1021,Stephen Cherono Lagat,F,"Monday, 15 April 2013","Wednesday, 2 October 2024",8,Grade 7A,SCH009,Eldoret Valley Academy,Private,Eldoret East,Uasin Gishu,Rift Valley,Kenya,Kisauni,Mombasa,Coast,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Practical,79,0.93,2500,No,Day,11
EDU-0022,STU-1022,Evans Wekesa Nyaga,F,"Thursday, 7 May 2015","Tuesday, 4 April 2023",9,Grade 8A,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Lurambi,Kakamega,Western,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Project,91,0.9,7500,No,Boarding,8
EDU-0023,STU-1023,Daisy Achieng Kamau,F,"Friday, 9 May 2014","Wednesday, 22 June 2022",9,Grade 9B,SCH011,Athi River Stem School,Private,Athi River,Machakos,Eastern,Kenya,Westlands,Nairobi,Nairobi,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Mid Term,86,0.8,1200,No,Hybrid,8
EDU-0024,STU-1024,Evans Nekesa Oduor,F,"Friday, 23 April 2010","Tuesday, 5 December 2023",7,Grade 7A,SCH012,Naivasha Bright School,Public,Naivasha,Nakuru,Rift Valley,Kenya,Ruiru,Kiambu,Central,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Project,64,0.82,2500,No,Hybrid,14
EDU-0026,STU-1026,Eric Langat Wekesa,F,"Tuesday, 10 December 2013","Wednesday, 7 June 2023",8,Grade 7B,SCH002,Ambakasi Hope Junior,Public,Embakasi East,Nairobi,Nairobi,Kenya,Lurambi,Kakamega,Western,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Mid Term,50,0.92,1200,No,Boarding,9
EDU-0031,STU-1031,Allan Nekesa Wambua,F,"Tuesday, 5 August 2014","Wednesday, 29 November 2023",9,Grade 8A,SCH007,Kisauni Future School,Private,Kisauni,Mombasa,Coast,Kenya,Embakasi East,Nairobi,Nairobi,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,End Term,84,0.8,1200,No,Hybrid,9
EDU-0042,STU-1042,Omar Wambui Duale,F,"Friday, 27 September 2013","Friday, 9 September 2022",7,Grade 8B,SCH006,Mvita Coast School,Public,Mvita,Mombasa,Coast,Kenya,Westlands,Nairobi,Nairobi,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Mid Term,71,0.89,1200,No,Boarding,9
EDU-0044,STU-1044,Martin Omondi Korir,F,"Wednesday, 13 June 2012","Friday, 21 January 2022",7,Grade 9A,SCH008,Kisumu Lakeview School,Public,Kisumu East,Kisumu,Nyanza,Kenya,Kisauni,Mombasa,Coast,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,End Term,72,0.81,7500,No,Day,10
EDU-0045,STU-1045,Zainab Omondi Njeri,F,"Tuesday, 1 April 2014","Thursday, 22 September 2022",9,Grade 8B,SCH009,Eldoret Valley Academy,Private,Eldoret East,Uasin Gishu,Rift Valley,Kenya,Lurambi,Kakamega,Western,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Cat 1,68,0.95,15000,No,Boarding,8
EDU-0046,STU-1046,Felix Kariuki Musyoka,F,"Thursday, 2 October 2014","Thursday, 25 January 2024",7,Grade 7B,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Westlands,Nairobi,Nairobi,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Cat 1,87,0.8,10000,No,Day,9
EDU-0050,STU-1050,Lucy Makena Muli,F,"Monday, 25 June 2012","Wednesday, 10 April 2024",8,Grade 9B,SCH002,Ambakasi Hope Junior,Public,Embakasi East,Nairobi,Nairobi,Kenya,Embakasi East,Nairobi,Nairobi,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Mid Term,38,0.89,0,No,Boarding,12
EDU-0055,STU-1055,Samuel Kariuki Korir,F,"Saturday, 14 September 2013","Wednesday, 23 February 2022",9,Grade 9A,SCH007,Kisauni Future School,Private,Kisauni,Mombasa,Coast,Kenya,Thika Town,Kiambu,Central,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Practical,87,0.81,0,No,Day,8
EDU-0059,STU-1059,Anthony Auma Ochieng,F,"Friday, 26 March 2010","Friday, 25 March 2022",9,Grade 9A,SCH011,Athi River Stem School,Private,Athi River,Machakos,Eastern,Kenya,Mvita,Mombasa,Coast,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Practical,62,0.82,7500,No,Day,12
EDU-0061,STU-1061,Moureen Njoroge Njoroge,F,"Thursday, 1 November 2012","Monday, 8 May 2023",7,Grade 8A,SCH001,Garden Court Academy,Private,Westlands,Nairobi,Nairobi,Kenya,Naivasha,Nakuru,Rift Valley,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Cat 1,68,0.88,1200,No,Boarding,11
