Customer Name,Customer Type,Customer Age,Region,County,City,Branch,Sales Rep,Lead Source,Car Make,Car Model,Vehicle Type,Vehicle Year,Fuel Type,Transmission,Color,Units Sold,Unit Selling Price,Unit Cost,Discount %,Delivery Fee,Logistics Cost,Payment Method,Payment Status,Delivery Status,Customer Rating,Review Count,Returned,Revenue Recorded,Order IDs,Order Date Clean,Delivery Date Clean
Linda Mutua,Car Dealer,,Coast,Mombasa,Mombasa,Mombasa Port Yard,Brian Otieno,Facebook,Subaru,Outback,Wagon,2021,Diesel,Automatic,Black,1,"3,505,000","2,967,000",0,"78,000","129,000",Bankers Cheque,Complete,Delivered,4.4,31,Returned,"3,337,650",LC1081,"Monday, 13 April 2026","Sunday, 29 June 2025"
Faith Kiptoo,Ngo,,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Mercy Atieno,Website,Mitsubishi,Outlander,Suv,2018,Hybrid,Automatic,Silver,1,"3,103,000","2,500,000",0,"85,000","133,000",M-Pesa,Paid,In Transit,4.3,8,Not Returned,"2,869,200",ORD1130,"Tuesday, 27 January 2026","Friday, 30 January 2026"
James Wafula,Corporate,,Eastern,Machakos,Athi River,Athi River Yard,Mary Wanjiku,Instagram,Mazda,Axela,Sedan,2024,Hybrid,Automatic,White,1,"1,899,000","1,520,000",0,,"52,000",M-Pesa,Cancelled,Cancelled,3.4,16,Not Returned,"1,935,020",CAR1176,"Saturday, 20 December 2025","Tuesday, 30 December 2025"
James Wafula,Individual,,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Phone Call,Nissan,Juke,Crossover,2021,Petrol,Automatic,White,1,,"1,592,000",0,"163,000","150,000",Bankers Cheque,Partially Paid,Delivered,5,27,Not Returned,"1,757,800",ORD1156,"Friday, 13 June 2025","Monday, 16 June 2025"
Unknown,Ngo,,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Daniel Kimani,Corporate Tender,Mazda,Atenza,Sedan,2023,Hybrid,Automatic,Green,1,"2,480,000","2,032,000",15,"146,000","143,000",M-Pesa,Paid,Delivered,4.7,39,Returned,"4,508,000",ORD1215,"Monday, 24 March 2025","Monday, 21 April 2025"
Mary Nyambura,Corporate,,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Daniel Kimani,Phone Call,Toyota,Harrier,Suv,2024,Hybrid,Automatic,White,1,"4,205,000","3,246,000",0,"100,000","140,000",Asset Financing,Paid,In Transit,4.1,19,Not Returned,"4,307,000",LC1117,"Sunday, 24 August 2025","Monday, 25 August 2025"
Naomi Mwangi,Government,,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Grace Njeri,Facebook,Toyota,Harrier,Suv,2018,Diesel,Automatic,Blue,1,"4,536,000","3,584,000",0,"23,000","50,000",M-Pesa,Completed,Delivered,4.7,29,Returned,"4,241,480",LCL1064,"Sunday, 17 August 2025","Tuesday, 26 August 2025"
Victor Mwangi,Individual,,Eastern,Machakos,Athi River,Athi River Yard,Brian Otieno,Phone Call,Toyota,Corolla,Sedan,,Hybrid,Automatic,White,1,"1,848,000","1,479,000",7,"98,000","127,000",Asset Financing,Paid,At The Yard,,25,Returned,"1,998,304",LC1148,"Tuesday, 8 July 2025","Saturday, 8 November 2025"
Peter Wanjiku,Ngo,,Western,Kakamega,Kakamega,Kakamega Yard,Mercy Atieno,Website,Subaru,Forester,Suv,2024,Hybrid,Automatic,Black,1,"3,391,000","2,814,000",0,"38,000","85,000",Cash,Pending,Delivered,2.5,32,Not Returned,"2,581,250",LCL1162,"Tuesday, 24 June 2025","Tuesday, 15 July 2025"
Victor Mwangi,Ngo,,Central,Kiambu,Thika,Thika Yard,Grace Njeri,Referral,Mazda,Demio,Hatchback,2016,Diesel,Automatic,Green,1,"1,320,000","1,159,000",0,"90,000","108,000",M-Pesa,Paid,Cancelled,3.6,37,Not Returned,"1,252,600",ORD1120,"Wednesday, 3 June 2026","Wednesday, 24 June 2026"
