Order ID,Order Date,Delivery Date,Customer Name,Customer Type,Customer Age,Region,County,City,Branch,Sales Rep,Lead Source,Car Make,Car Model,Vehicle Type,Vehicle Year,Fuel Type,Transmission,Color,Units Sold,Unit Selling Price,Unit Cost,Discount,Delivery Fee,Logistics Cost,Payment Method,Payment Status,Delivery Status,Customer Rating,Review Count,Returned,Revenue Recorded
LC1000,"Aug 29, 2025",30/08/2025,Joy Wanjiku,Ngo,54,Nyanza,Kisumu,Kisumu,Kisumu Yard,Mary Wanjiku,walk in,Toyota,Prado Tx,SUV,2016,Petrol,Manual,Black,3,"KSh 8,136,000",6986000,7%,39000,"KES 56,000",Cash,Completed,At the Yard,4.5,2,Not Returned,"KES -22,738,440"
LCL-1001,19/01/2026,46066,CAROL MAINA,Corporate,46,Western,Kakamega,Kakamega,Kakamega Yard,Mary Wanj1ku,Facebook,Toyta,Prado Tx,SUV,2016,Diesel,Automatic,Pearl,3,"KSh 6,708,000","KSh 5,566,000",10%,"162,000","KSh213,000",Asset Financing,Completed,At the Yard,4.5,17,,9.14M
LCL-1002,26-Mar-25,04/06/2025,Naomi Muthoni,individual,46,Rift Valley,NAKURU,nakuru,nakuru yard,Dan1El Kimani,facebook,MITSUBISHI,OUTLANDER,SUV,2018,Petrol,AT,Gre,1,3326000,2562000,10%,51000,82000,Cash,PAID,Delayed,4.4 out of 5,36,Returned,"KES 3,044,400"
LCL-1003,"Feb 15, 2026",25/02/2026,Carol Ochieng,National Govt,42,Western,Kakamega,Kakamega,Kakamega Yard,Samuel Mutua,Website,TOYOTA,Fielder,Wagon,2018,Petrol,Automatic,Red,1,1840000,1661000,3%,"KES 88,000",118000,Bankers Cheque,Awaiting Payment,In Transit,2.6,,Not Returned,1872800
ORD1004,17-Mar-26,03/20/2026,Samuel Mutua,Individual,64,Nairobi,Nairobi,Nairobi,Nairobi Yard,Grace Njer1,WHATS APP,Mitsubishi,Pajero,SUV,2023,Hybrid,Automatic,Blue,1,"KES 4,783,000","KES 4,203,000",2%,"KES 75,000",missing,Cash,Completed,Delivered,4.4,42,Not Returned,"KSh 4,762,340"
LC1005,17-Jan-25,10-Feb-25,CAROL MWANGI,Company,27,WEST,Kakamega,Kakamega Town,Kakamega Yard,samuel mutua,Phone Call,isuzu,d max,Pickup,2023,PETROL,auto,Gre,3,4.2M,"KSh 3,456,000",5%,"KSh 112,000","KSh 148,000",Cash,Pending,Delivered,4.6,1,Returned,"KSh 12,073,450"
LC1006,"Oct 20, 2025",27/10/2025,James Muthoni,National Govt,48,Central,Kiambu,Thika,Thika Yard,Faith Achieng,Instagram,Nissan,Juke,Crossover,2026,Petrol,Automatic,Pearl,1,"KSh2,166,000",1847000,0%,0.08M,"KSh 100,000",Asset Financing,Awaiting Payment,Delivered,2.5,10,,2244000
LCL1007,45671,19/01/2025,Kevin Maina,Car Dealer,44,Western,Kakamega,Kakamega,Kakamega Yard,aisha mohamed,WhatsApp,Volkswagen,Golf,Hatchback,2026,Gasoline,Manual,Pearl,2,"KSh 2,084,000","KSh 1,736,000",120%,0.02M,"KSh 42,000",Wire Transfer,Cancelled,Cancelled,,18,Not Returned,-1627199
ORD1008,02/21/2025,10/05/2025,Winnie Kiptoo,Ngo,22,Central,Kiambu,Thika,Thika Yard,Fa1th Achieng,FACEBOOK,mercedes benz,E250,Saloon,2020,Diesel,Manual,Green,2,6770000,"5,980,000",7%,174000,207000,cash,Partially Paid,Delayed,3.8,17,Not Returned,"KSh12,766,200"
ORD1009,09/04/2025,45777,Mercy Wanjiku,Corporate,45,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Kevin Mwangi,corporate tender,Honda,Vezel,Crossover,null,Hybrid,A/T,Black,1,2920000,2588000,0.07,"KSh 140,000",188000,M Pesa,Completed,Cancelled,,1,Not Returned,#VALUE!
ORD1010,2026-13-04,01/05/2026,Daniel Wafula,Corporate,38,westen,kakamega,Kakamega,Kakamega Branch,samuel mutua,Corporate Tender,BMW,320i,Sedan,2026,Diesel,A/T,SILVER,1,3942000,"KES 3,297,000",7%,"KSh 29,000","KES 75,000",Asset Finance,paid,delivered,3.6 out of 5,,Returned,"KES 3,695,059"
