Employee ID,First Name,Last Name,Department,Salary,Hire Date,Age,Gender,Performance Score,Full-Time,Bonus,Marital Status,Education Level,Work Experience (Years),Employee Type,Office Location,Project Count,Last Promotion Year,Remote Work Status,Annual Training Hours,Manager Feedback Score
10001,Winnie,Kamau,HR,74291,2002-09-14 00:00:00,48,Female,9,Yes,5324.53,Widowed,PhD,13,Intern,Nairob,4,2022,On-Site,150,2.2
10002,Chebet,Mugambi,H.R,93350,2008-11-12 00:00:00,53,Male,N/A,Yes,5037.68,Married,high school,39,Contract,Nairobi,14,2019,On-Site,140,1.2
10003,Chebet,Naliaka,IT,112020,2017-07-13 00:00:00,33,Male,7,Yes,1087.86,Widowed,High School,20,Permanent,Berlin,11,2012,Hybrid,159,4.7
10004,Timothy,Kilonzo,Sales,34646,2014-07-27 00:00:00,26,Female,8,No,4817.13,Single,Associate's,32,Intern,Tokyo,16,2020,Fully Remote,18,1.9
10005,Kennedy,Mburu,Operations,69713,2010-07-12 00:00:00,28,Femle,4,No,3231.82,Single,Associate's,10,Permanent,San Francisco,4,2017,Hybrid,150,2.5
10006,Beatrice,Were,Info Tech,97936,2014-07-10 00:00:00,43,Male,6,Yes,3108.36,Widowed,Bachelor's,26,Contract,San Francisco,18,2017,On-Site,69,3.1
10007,Fiona,Wafula,Finance,74331,2017-04-02 00:00:00,48,Female,5,No,2612.63,Widowed,Bachelor,19,Contract,Tokyo,9,2021,On-Site,163,4.9
10008,Mercy,Kamau,HR,52185,2010-02-10 00:00:00,36,Female,1,No,3659.02,Single,Bachelor's,29,Intern,Berlin,11,2016,Hybrid,24,
10009,Joy,Juma,IT,114263,2000-04-08 00:00:00,60,Male,9,No,3854.76,Divorced,High Sch,13,Temporary,London,1,2017,On-Site,74,2.8
10010,Cynthia,Mboya,Marketing,82107,2006-04-07 00:00:00,56,Female,2,No,3433.37,Divorced,Associate's,34,Inten,New York,16,2010,On-Site,49,3.3
10011,Harun,Kiptoo,Finance,96554,2004-02-23 00:00:00,47,Male,6,Yes,9798.15,Divorced,High School,20,Intern,Berlin,4,2012,Fully Remote,5,4.9
10012,Lilian,Ndegwa,HR,47563,2011-10-07 00:00:00,44,Male,8,Yes,9360.95,Widowed,Bachelor's,18,Intern,Tokyo,14,2015,N/A,151,4.3
10013,Baraka,Njoki,Sales,100729,2001-09-25 00:00:00,34,Male,3,No,5957.85,N/A,Associate's,34,Intern,Nairobi,19,2021,Remote,43,1.7
10013,Baraka,Njoki,Sales,100729,2001-09-25 00:00:00,34,Male,3,No,5957.85,N/A,Associate's,34,Intern,Nairobi,19,2021,Remote,43,1.7
10015,Hope,Naliaka,IT,99072,2013-04-03 00:00:00,24,Female,7,Yes,9916.38,Married,Bachelor's,16,Contract,Tokyo,19,2016,Hybrid,159,4.4
10016,Abdi,Achieng,HR,78217,2012-07-21 00:00:00,50,Female,4,Yes,3881.43,Divorced,Bachelor's,23,Permanent,Nairobi,10,2020,Hybrid,60,3.8
10016,Mercy,Musyoka,Sale,74610,2001-08-01 00:00:00,23,Male,5,Yes,4729.28,Divorced,High School,32,Permanent,Tokyo,17,2015,On-Site,148,3.6
