"record_id","student_id","student_full_name","gender","student_age","date_of_birth","admission_date","grade_level","class_stream","school_id","school_name","school_type","school_subcounty","school_county","school_region","student_subcounty","student_county","student_region","teacher_id","teacher_name","teacher_gender","teacher_subject_specialty","teacher_subcounty","teacher_county","teacher_region","subject_id","subject_name","assessment_type","score","attendance_rate_pct","fee_balance_kes","scholarship_status","learning_mode"
EDU-0107,STU-1107,Susan Auma Bett,F,16,2014-07-04,2023-05-30,"8",Grade 7A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Westlands,Nairobi,Nairobi,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Practical,45,82,2500,No,Unknown
EDU-0283,STU-1283,Christine Nyanchama Hussein,M,12,2013-10-17,2023-03-21,"9",Grade 7B,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Embakasi East,Nairobi,Nairobi,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Mid-Term,38,98,1200,No,Unknown
EDU-0128,STU-1128,Moureen Adhiambo Chebet,Unknown,14,2011-07-16,2024-04-30,"8",Grade 8A,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Kisauni,Mombasa,Coast,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Practical,89,85,5000,No,Unknown
EDU-0272,STU-1272,Kevin Njoroge Bett,F,16,2010-10-04,2024-05-12,"7",Grade 9B,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Langata,Nairobi,Nairobi,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Practical,58.5,100,2500,No,Unknown
EDU-0155,STU-1155,John Koech Ali,M,18,2010-05-26,2022-12-07,"9",Grade 9A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Kisumu East,Kisumu,Nyanza,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Practical,77,0,2500,No,Unknown
EDU-0194,STU-1194,Nelly Wafula Korir,M,12,2013-05-18,2024-07-15,"9",Grade 7B,SCH002,Embakasi Hope Junior,Public,Nairobi,Nairobi,Nairobi,Lurambi,Nairobi,Western,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Practical,70,57,7500,No,Unknown
EDU-0060,STU-1060,Agnes Njoroge Serem,M,15,2014-01-24,2022-02-23,"9",Grade 7B,SCH012,Naivasha Bright School,Public,Nakuru,Nakuru,Rift Valley,Eldoret East,Uasin Gishu,Rift Valley,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,Mid-Term,96,99,10000,No,Unknown
EDU-0133,STU-1133,Gladys Koech Musyoka,F,16,2014-05-20,2022-07-24,"8",Grade 7A,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Athi River,Machakos,Eastern,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Unknown,55,93,1200,No,Unknown
EDU-0241,STU-1241,Naomi Nduta Barasa,F,15,2014-12-14,2023-12-15,"7",Grade 8B,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Embakasi East,Nairobi,Nairobi,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Mid-Term,87,68,5000,No,Unknown
EDU-0066,STU-1066,Victor Koech Kariuki,M,14,2011-07-23,2024-04-04,"9",Grade 8B,SCH006,Mvita Coast School,Public,Mombasa,Mombasa,Coast,Ruiru,Kiambu,Central,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,Practical,34,55,15000,No,Unknown
